name,gnd
Cantone Serafino,http://d-nb.info/gnd/1089773242 / http://d-nb.info/gnd/10387593X
Caramuel y Lobkowitz Juan ,http://d-nb.info/gnd/119268612
Carl Rupert,http://d-nb.info/gnd/1028747489
Carpentier Pierre,http://d-nb.info/gnd/174128827
Castel Antonio,http://d-nb.info/gnd/173799655
Castelli Benedetto,http://d-nb.info/gnd/11887067X
Castiglione Valeriano,http://d-nb.info/gnd/129786306 /   http://d-nb.info/gnd/175126151
Castillejo Cristobal de,http://d-nb.info/gnd/120770180
Castrucci Raffaello,http://d-nb.info/gnd/1055385193 /   http://d-nb.info/gnd/10244529X
Catan Lambert,http://d-nb.info/gnd/159848210
Cavacio Giacomo,http://d-nb.info/gnd/100076769
Cave William,http://d-nb.info/gnd/124646557
Cerda José de la,http://d-nb.info/gnd/100170412
Chantelou Claude,http://d-nb.info/gnd/1055271953 /   http://d-nb.info/gnd/101938314
Charmans Bruno,http://d-nb.info/gnd/132912899 /   http://d-nb.info/gnd/1089691270 / http://d-nb.info/gnd/173003265 / http://d-nb.info/gnd/103130942
Cherle Benedikt,http://d-nb.info/gnd/120438534
Cherubini Angelo Maria,http://d-nb.info/gnd/100079601 / http://d-nb.info/gnd/1055405348 / http://d-nb.info/gnd/1089646992
Chretien Nicolas,http://d-nb.info/gnd/118026895 /   http://d-nb.info/gnd/1087791847 /   http://d-nb.info/gnd/175151210
Christel Nikolaus,http://d-nb.info/gnd/116508000 /   http://d-nb.info/gnd/1089672764
Christmann Roman,http://d-nb.info/gnd/102869251
Ciccotti Modesto,http://d-nb.info/gnd/1089312261
Cisneros García Jiménez de,http://d-nb.info/gnd/100964974
Clario Isidoro,http://d-nb.info/gnd/100084362
Clausius Heinrich,http://d-nb.info/gnd/1055655603
Clavenau Ignaz,http://d-nb.info/gnd/135719925
Coesfeld Heinrich von,http://d-nb.info/gnd/102492476
Conradi Severin,http://d-nb.info/gnd/121533670
Cordier Pierre,http://d-nb.info/gnd/142063894
Cordus Euricius,http://d-nb.info/gnd/119298414
Corker Maurus,http://d-nb.info/gnd/100666000
Corner David Gregor,http://d-nb.info/gnd/104242450 / http://d-nb.info/gnd/179851462
Cortese Gregorio,http://d-nb.info/gnd/118921819
Cosson Pierre,http://d-nb.info/gnd/1055508406
Cottone Antonio,http://d-nb.info/gnd/12469876X /   http://d-nb.info/gnd/172026431
Coustant Pierre,http://d-nb.info/gnd/140473017 / http://d-nb.info/gnd/175184631
Crespo Francisco,http://d-nb.info/gnd/131589547
Cressy Serenus,http://d-nb.info/gnd/1055801154 /   http://d-nb.info/gnd/1055175342 / http://d-nb.info/gnd/157939448
Crocquet Andrè,http://d-nb.info/gnd/10009662X
Cyprian Ernst Salomon,http://d-nb.info/gnd/119453363 / http://d-nb.info/gnd/159574897
D'Achery Jean Luc,http://d-nb.info/gnd/10009872X
Daniel Petrus,http://d-nb.info/gnd/101087934
Danisius (Danichius) Hilarion,http://d-nb.info/gnd/1018185704
De Castaniza Juan,http://d-nb.info/gnd/123605350
Defuns Adalbert,http://d-nb.info/gnd/1069352357
De Lamy Francois ,http://d-nb.info/gnd/11924523X
Delfau Francois,http://d-nb.info/gnd/129603953 / http://d-nb.info/gnd/187138648
Dell'Uva Benedetto,http://d-nb.info/gnd/1060527065 /   http://d-nb.info/gnd/1053392184
Deppisch Gottfried,http://d-nb.info/gnd/1029493529
Desgabets Robert,http://d-nb.info/gnd/12444461X
Desing Anselm,http://d-nb.info/gnd/116083905
Devic Claude,http://d-nb.info/gnd/1053408544
Dietl Gregor,http://d-nb.info/gnd/129807834 / http://d-nb.info/gnd/179646664
Dietmayr Berthold,http://d-nb.info/gnd/124510736
Döderlein Johann Alexander,http://d-nb.info/gnd/121988511 /   http://d-nb.info/gnd/1045742570
Dolany Stephan de,http://d-nb.info/gnd/1032164573
Dörring Christoph,http://d-nb.info/gnd/12976454X
Dorsanne Antoine,http://d-nb.info/gnd/129913510
Dote Venture (Donati) Nicolaus,http://d-nb.info/gnd/1023097990
Drescher Joseph,http://d-nb.info/gnd/139526676
Driesch Gerhard Cornelius,http://d-nb.info/gnd/100836127 / http://d-nb.info/gnd/17204829X /   http://d-nb.info/gnd/187116997
Du Breul Jacques,http://d-nb.info/gnd/128432438
Ducchi Gregorio,http://d-nb.info/gnd/121203042
Duchesne André,http://d-nb.info/gnd/117657336 / http://d-nb.info/gnd/159345146
Duelli Raimund,http://d-nb.info/gnd/116235586
Du Frische Jacques ,http://d-nb.info/gnd/102450749
Düggelin Urs,http://d-nb.info/gnd/187819394
Dullinger Sigmund,http://d-nb.info/gnd/122764447 / http://d-nb.info/gnd/1090233450
Dullinger Wolfgang,http://d-nb.info/gnd/129756423
Duraclusius Johannes,http://d-nb.info/gnd/119658852
Durand Ursin,http://d-nb.info/gnd/14396156X
Düring Kilian,http://d-nb.info/gnd/118905120
Du Sault Jean-Paul ,http://d-nb.info/gnd/10419510X
Ebberth Johannes Baptist,http://d-nb.info/gnd/12250397X
Ebendorfer Thomas,http://d-nb.info/gnd/118681516 / http://d-nb.info/gnd/187114048
Ebenhöch Alberich,http://d-nb.info/gnd/118977709
Ebner Christine,http://d-nb.info/gnd/10094034X / http://d-nb.info/gnd/15358291X
Ebner Margareta,http://d-nb.info/gnd/11868759X
Eck Johann Baptist,http://d-nb.info/gnd/1012184307
Eckhart Johann Georg,http://d-nb.info/gnd/1090340923 /   http://d-nb.info/gnd/118958461
Eckher von Kapfing Johann Franz,http://d-nb.info/gnd/118712365
Eck von Piburg Benedikt,http://d-nb.info/gnd/1072304376
Eder Franz,http://d-nb.info/gnd/133974960
Effinger Roman,http://d-nb.info/gnd/1089633270
Egg Edmund,http://d-nb.info/gnd/128721367
Egger Felix,http://d-nb.info/gnd/100120296
Egon Johannes,http://d-nb.info/gnd/1034798588
Eibelhuber Johann Christoph,http://d-nb.info/gnd/143651803 / http://d-nb.info/gnd/1056084286
Eibensteiner Christian,http://d-nb.info/gnd/1011937069
Einslin Michael,http://d-nb.info/gnd/136187102
Eiselin Johann Baptist,http://d-nb.info/gnd/1017628874
Eiselin (Ferreolus) Georg,http://d-nb.info/gnd/119661616
Eixl Thomas,http://d-nb.info/gnd/1055607234
Ellenbog Nikolaus,http://d-nb.info/gnd/100964826 / http://d-nb.info/gnd/175431825
Emer Placidus,http://d-nb.info/gnd/13351109X
Engel Ludwig,http://d-nb.info/gnd/121032299
Engelprecht Peter,http://d-nb.info/gnd/1076554970
Erath Augustin,http://d-nb.info/gnd/124583725
Erb Anselm,http://d-nb.info/gnd/102873542
Erckens Placidus,http://d-nb.info/gnd/1079826769
Erhardt Kaspar,http://d-nb.info/gnd/129766771
Erhardt Thomas,http://d-nb.info/gnd/122504135
Estiennot de la Serre Claude,http://d-nb.info/gnd/122167708
Faber Virgil,http://d-nb.info/gnd/101083009
Fabricius Albert,http://d-nb.info/gnd/100099459
Fagiis (Faggi) Angelo de,http://d-nb.info/gnd/100404170
Feinhals Albin,http://d-nb.info/gnd/1052512186 /   http://d-nb.info/gnd/101045549
Felibien Michel,http://d-nb.info/gnd/1089699689 / http://d-nb.info/gnd/100281117 / http://d-nb.info/gnd/1055310401 / http://d-nb.info/gnd/180962140
Ferrari Ambrogio,http://d-nb.info/gnd/100754171
Ferrer Aemilian,http://d-nb.info/gnd/120326566
Fesl Narcissus,http://d-nb.info/gnd/103012311
Fischer Anselm,http://d-nb.info/gnd/130136557
Fleckenstein Ildephons,http://d-nb.info/gnd/1089633289
Fleischlin Gregor,http://d-nb.info/gnd/1071544837
Folengo Giovanni Battista,http://d-nb.info/gnd/1090193122 /   http://d-nb.info/gnd/119673681
Folengo Teofilo,http://d-nb.info/gnd/1089966520 / http://d-nb.info/gnd/118684116 / http://d-nb.info/gnd/1055599185 / http://d-nb.info/gnd/175522103
Forster Frobenius,http://d-nb.info/gnd/116665106
Forster Johannes Gualbert I.,http://d-nb.info/gnd/101956640X
Fouqueré Antoine-Michel,http://d-nb.info/gnd/105538460X
Franck Bernhard,http://d-nb.info/gnd/1089634641
Franck von Franckenstein Michael Adam,http://d-nb.info/gnd/132356384
Franken Matthias,http://d-nb.info/gnd/172890462 /   http://d-nb.info/gnd/174157487
Fredro Andreas Maximilian,http://d-nb.info/gnd/104320923
Frere Claudius,http://d-nb.info/gnd/130878065
Freschot Casimir,http://d-nb.info/gnd/128597771 / http://d-nb.info/gnd/132739119 / http://d-nb.info/gnd/187126097
Freyberger Ulrich,http://d-nb.info/gnd/130560014
Froye Jacques,http://d-nb.info/gnd/119678721 /   http://d-nb.info/gnd/1089637594
Fuchs Gregor,http://d-nb.info/gnd/118928813
Fuhrmann Matthias,http://d-nb.info/gnd/129586862 / http://d-nb.info/gnd/132378329
Gaeta Erasmo,http://d-nb.info/gnd/110614144X
Gangelt Theodor,http://d-nb.info/gnd/128902957 / http://d-nb.info/gnd/187130604
Gansler Rupert,http://d-nb.info/gnd/129750859 / http://d-nb.info/gnd/179307002
Garelli Pius Nikolaus,http://d-nb.info/gnd/116439475
Garet Jean,http://d-nb.info/gnd/1019312491 / http://d-nb.info/gnd/1089611749
Garnier Julien,http://d-nb.info/gnd/124182674
Gastel Gregor,http://d-nb.info/gnd/119681811 / http://d-nb.info/gnd/158064585
Gebel Benedikt,http://d-nb.info/gnd/139754261 / http://d-nb.info/gnd/101097549
Génébrard Gilbert,http://d-nb.info/gnd/129032123 / http://d-nb.info/gnd/18832688X
Gentilotti Johann Benedikt,http://d-nb.info/gnd/115629203
Gerberon Gabriel,http://d-nb.info/gnd/123622778
Gerhard Benedikt,http://d-nb.info/gnd/121139050 /   http://d-nb.info/gnd/173333818
Germain Michel,http://d-nb.info/gnd/119148676
Gesvres Francois,http://d-nb.info/gnd/138083339
Giel von Gielsperg Christoph,http://d-nb.info/gnd/139721177
Gifford Gabriel,http://d-nb.info/gnd/119685884
Gille Paris,http://d-nb.info/gnd/124518206
Gleditsch Johann Gottlieb,http://d-nb.info/gnd/128713488
Gletle Johannes Baptist,http://d-nb.info/gnd/103894993
Gleuz Johann Martin,http://d-nb.info/gnd/1019469943
Gmainer Paul,http://d-nb.info/gnd/133679853
Gody Simplician,http://d-nb.info/gnd/10015042X
Goldast von Haiminsfeld Melchior,http://d-nb.info/gnd/118696130
Gottlieb Theodor,http://d-nb.info/gnd/116794291
Gourdin Michel,http://d-nb.info/gnd/100155790
Gradi Basilio,http://d-nb.info/gnd/104050047
Graffi Giacomo,http://d-nb.info/gnd/128520191
Grafsturm Innozenz,http://d-nb.info/gnd/12243711X
Grange Jean de la,http://d-nb.info/gnd/101935917X
Grass Ansgar,http://d-nb.info/gnd/187099553
Gravina Paolo,http://d-nb.info/gnd/136416993
Gravius Heinrich,http://d-nb.info/gnd/124961908
Gräz Korbinian,http://d-nb.info/gnd/100157009
Gretser Jakob,http://d-nb.info/gnd/118542087
Grillo Angelo,http://d-nb.info/gnd/1090010273 / http://d-nb.info/gnd/119159899
Grimaldi Girolamo,http://d-nb.info/gnd/119083450 / http://d-nb.info/gnd/132330075 /   http://d-nb.info/gnd/101093748
Gropp Ignaz,http://d-nb.info/gnd/11686639X /   http://d-nb.info/gnd/179433997
Groten Beda,http://d-nb.info/gnd/172107407
Grueber Karl,http://d-nb.info/gnd/129435694
Grünbeck Joseph,http://d-nb.info/gnd/11869846X
Gschwendtner Maurus,http://d-nb.info/gnd/121533395
Guérard Robert,http://d-nb.info/gnd/140189300
Guetrather Odilo,http://d-nb.info/gnd/104058668 / http://d-nb.info/gnd/179399519 / http://d-nb.info/gnd/152123296
Guetrather Petrus,http://d-nb.info/gnd/124806821
Gugger Athanasius,http://d-nb.info/gnd/1013261550
Guidi Benedetto,http://d-nb.info/gnd/10429597X / http://d-nb.info/gnd/179782975
Guzinger Otto,http://d-nb.info/gnd/100630189
Haedo Diego,http://d-nb.info/gnd/100154220 /   http://d-nb.info/gnd/152937862 /   http://d-nb.info/gnd/1053437943
Haeften Benedikt van,http://d-nb.info/gnd/122806980
Hagemann Gerhard,http://d-nb.info/gnd/121804259 / http://d-nb.info/gnd/1055302549
Hagn Leonhard,http://d-nb.info/gnd/120162997
Hahn Franz Joseph,http://d-nb.info/gnd/118979272
Haiden Placidus,http://d-nb.info/gnd/10015669X
Halmschmidt Kilian,http://d-nb.info/gnd/124875165
Hammerer Christoph,http://d-nb.info/gnd/119698064
Hansiz Markus,http://d-nb.info/gnd/132325357
Hanthaler Chrysostomus,http://d-nb.info/gnd/130099864
Hardter Heinrich,http://d-nb.info/gnd/101057768
Harrach Ernst von,http://d-nb.info/gnd/104209356
Haslinger Gotthard,http://d-nb.info/gnd/102910057
Hauer Georg,http://d-nb.info/gnd/104277467
Hauer Urban,http://d-nb.info/gnd/1041833164
Haug Hieronymus,http://d-nb.info/gnd/103072764
Haug Ulrich,http://d-nb.info/gnd/133577996
